sampleid	Day	PigID	pen	Feed	Coli	Source	Batch	key	sow	treat
C1	Control	Control	Control	Control	Control	Control	Control	Control	Control	Control
C2	Control	Control	Control	Control	Control	Control	Control	Control	Control	Control
M1	1	6901	1	std	neg	faecal	1	1-6901-1	1229	NC
M2	1	6903	2	std	neg	faecal	1	1-6903-1	1117	NC
M3	1	6904	2	std	neg	faecal	1	1-6904-1	1117	NC
M4	1	6905	3	std	neg	faecal	1	1-6905-1	1309	NC
M5	1	6906	3	std	neg	faecal	1	1-6906-1	1309	NC
M6	1	6907	4	std	neg	faecal	1	1-6907-1	1322	NC
M7	1	6908	4	std	neg	faecal	1	1-6908-1	1322	NC
M8	1	6909	5	std	pos	faecal	1	1-6909-1	1229	PC
M9	1	6910	5	std	pos	faecal	1	1-6910-1	1229	PC
M10	1	6911	6	std	pos	faecal	1	1-6911-1	1117	PC
M11	1	6912	6	std	pos	faecal	1	1-6912-1	1117	PC
M12	1	6913	7	std	pos	faecal	1	1-6913-1	1309	PC
M13	1	6914	7	std	pos	faecal	1	1-6914-1	1309	PC
M14	1	6915	8	std	pos	faecal	1	1-6915-1	1322	PC
M15	1	6916	8	std	pos	faecal	1	1-6916-1	1322	PC
M16	1	6917	9	apple	pos	faecal	1	1-6917-1	1229	GA
M17	1	6918	9	apple	pos	faecal	1	1-6918-1	1229	GA
M18	1	6919	10	apple	pos	faecal	1	1-6919-1	1117	GA
M19	1	6920	10	apple	pos	faecal	1	1-6920-1	1117	GA
M20	1	6921	11	apple	pos	faecal	1	1-6921-1	1309	GA
M21	1	6922	11	apple	pos	faecal	1	1-6922-1	1309	GA
M22	1	6923	12	apple	pos	faecal	1	1-6923-1	1322	GA
M23	1	6924	12	apple	pos	faecal	1	1-6924-1	1322	GA
M24	1	6925	13	blackb	pos	faecal	1	1-6925-1	1229	GB
M25	1	6926	13	blackb	pos	faecal	1	1-6926-1	1229	GB
M26	1	6927	14	blackb	pos	faecal	1	1-6927-1	1117	GB
M27	1	6928	14	blackb	pos	faecal	1	1-6928-1	1117	GB
M28	1	6929	15	blackb	pos	faecal	1	1-6929-1	1309	GB
M29	1	6930	15	blackb	pos	faecal	1	1-6930-1	1309	GB
M30	1	6931	16	blackb	pos	faecal	1	1-6931-1	1322	GB
M62	3	6901	1	std	neg	faecal	1	1-6901-3	1229	NC
M63	3	6902	1	std	neg	faecal	1	1-6902-3	1229	NC
M64	3	6903	2	std	neg	faecal	1	1-6903-3	1117	NC
M65	3	6904	2	std	neg	faecal	1	1-6904-3	1117	NC
M66	3	6905	3	std	neg	faecal	1	1-6905-3	1309	NC
M67	3	6906	3	std	neg	faecal	1	1-6906-3	1309	NC
M68	3	6907	4	std	neg	faecal	1	1-6907-3	1322	NC
M69	3	6908	4	std	neg	faecal	1	1-6908-3	1322	NC
M70	3	6909	5	std	pos	faecal	1	1-6909-3	1229	PC
M71	3	6910	5	std	pos	faecal	1	1-6910-3	1229	PC
M72	3	6911	6	std	pos	faecal	1	1-6911-3	1117	PC
M73	3	6912	6	std	pos	faecal	1	1-6912-3	1117	PC
M74	3	6913	7	std	pos	faecal	1	1-6913-3	1309	PC
M75	3	6914	7	std	pos	faecal	1	1-6914-3	1309	PC
M76	3	6915	8	std	pos	faecal	1	1-6915-3	1322	PC
M77	3	6916	8	std	pos	faecal	1	1-6916-3	1322	PC
M78	3	6917	9	apple	pos	faecal	1	1-6917-3	1229	GA
M79	3	6919	10	apple	pos	faecal	1	1-6919-3	1117	GA
M80	3	6920	10	apple	pos	faecal	1	1-6920-3	1117	GA
M81	3	6921	11	apple	pos	faecal	1	1-6921-3	1309	GA
M82	3	6922	11	apple	pos	faecal	1	1-6922-3	1309	GA
M83	3	6923	12	apple	pos	faecal	1	1-6923-3	1322	GA
M84	3	6924	12	apple	pos	faecal	1	1-6924-3	1322	GA
