sampleid	Day	PigID	pen	Feed	Coli	Source	batch	key	sow	treat	Score	f_DM	RBC	HGB	HCT	MCV	MCH	MCHC	RET	RET_2	PLT	WBC	NEUT	LYMPH	MONO	EO	BASO	NEUT_2	LYMPH_2	MONO_2	EO_2	BASO_2
C1	Control	Control	Control	Control	Control	Control	Control	Control	Control	Control	Control	Control	Control	Control	Control	Control	Control	Control	Control	Control	Control	Control	Control	Control	Control	Control	Control	Control	Control	Control	Control	Control
C2	Control	Control	Control	Control	Control	Control	Control	Control	Control	Control	Control	Control	Control	Control	Control	Control	Control	Control	Control	Control	Control	Control	Control	Control	Control	Control	Control	Control	Control	Control	Control	Control
M1	1	6901	1	std	neg	faecal	1	1-6901-1	1229	NC	NA	34.75344239	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
M2	1	6903	2	std	neg	faecal	1	1-6903-1	1117	NC	NA	36.43387816	6.8	116	40.2	59.1	17.1	289	202	2.97	423	18.93	8.74	7.96	0.9	1.32	0.01	46.1	42	4.8	7	0.1
M3	1	6904	2	std	neg	faecal	1	1-6904-1	1117	NC	NA	28.06520198	6.64	120	41.9	63.1	18.1	286	223.8	3.37	583	31	20.53	7.76	1.49	1.21	0.01	66.3	25	4.8	3.9	0
M4	1	6905	3	std	neg	faecal	1	1-6905-1	1309	NC	NA	34.81835564	6.29	111	38.8	61.7	17.6	286	145.3	2.31	287	21.59	11.23	9.05	0.17	1.13	0.01	52.1	41.9	0.8	5.2	0
M5	1	6906	3	std	neg	faecal	1	1-6906-1	1309	NC	NA	30.70981979	6.01	112	39	64.9	18.6	287	203.7	3.39	481	24.16	13.01	8.78	0.24	2.12	0.01	53.9	36.3	1	8.8	0
M6	1	6907	4	std	neg	faecal	1	1-6907-1	1322	NC	NA	30.22804464	5.63	109	39.7	70.5	19.4	275	228.6	4.06	293	17.15	4.67	10.16	1.19	1.1	0.03	27.3	59.2	6.9	6.4	0.2
M7	1	6908	4	std	neg	faecal	1	1-6908-1	1322	NC	NA	32.59827421	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
M8	1	6909	5	std	pos	faecal	1	1-6909-1	1229	PC	NA	28.77059569	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
M9	1	6910	5	std	pos	faecal	1	1-6910-1	1229	PC	NA	26.65109641	6.42	116	41	63.9	18.1	283	138.7	2.16	157	20.6	7.93	11.17	0.13	1.36	0.01	38.6	54.2	0.6	6.6	0
M10	1	6911	6	std	pos	faecal	1	1-6911-1	1117	PC	NA	28.72512896	6.16	107	36.3	58.9	17.4	295	189.1	3.07	509	29.68	16.86	10.21	0.09	2.49	0.03	56.8	34.4	0.3	8.4	0.1
M11	1	6912	6	std	pos	faecal	1	1-6912-1	1117	PC	NA	34.83097989	6.17	110	36.5	59.2	17.8	301	193.1	3.13	418	17.04	6.36	8.79	0.39	1.5	0	37.3	51.6	2.3	8.8	0
M12	1	6913	7	std	pos	faecal	1	1-6913-1	1309	PC	NA	31.050345	6.29	119	40.8	64.9	18.9	292	245.3	3.9	77	16.06	6.74	6.33	0.1	2.89	0	42	39.4	0.6	18	0
M13	1	6914	7	std	pos	faecal	1	1-6914-1	1309	PC	NA	29.27239119	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
M14	1	6915	8	std	pos	faecal	1	1-6915-1	1322	PC	NA	29.24423451	6.45	115	41.6	64.5	17.8	276	161.9	2.51	346	21.38	8.46	10.47	0.16	2.28	0.01	39.6	49	0.7	10.7	0
M15	1	6916	8	std	pos	faecal	1	1-6916-1	1322	PC	NA	26.15819209	6.6	115	40.9	62	17.4	281	159.1	2.41	441	21.96	8.72	10.63	0.27	2.31	0.03	39.8	48.4	1.2	10.5	0.1
M16	1	6917	9	apple	pos	faecal	1	1-6917-1	1229	GA	NA	28.02972561	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
M17	1	6918	9	apple	pos	faecal	1	1-6918-1	1229	GA	NA	30.72319202	6.19	114	39.5	63.8	18.4	289	134.9	2.18	399	16.97	6.23	7.75	1.11	1.86	0.02	36.7	45.7	6.5	11	0.1
M18	1	6919	10	apple	pos	faecal	1	1-6919-1	1117	GA	NA	31.00081367	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
M19	1	6920	10	apple	pos	faecal	1	1-6920-1	1117	GA	NA	32.66170244	6.21	116	40.2	64.7	18.7	289	211.1	3.4	604	26.62	15.2	9.58	0.99	0.8	0.05	57.1	36	3.7	3	0.2
M20	1	6921	11	apple	pos	faecal	1	1-6921-1	1309	GA	NA	29.71039777	5.91	108	38.4	65	18.3	281	182	3.08	269	20.81	8.37	8.53	1.15	2.76	0	40.2	41	5.5	13.3	0
M21	1	6922	11	apple	pos	faecal	1	1-6922-1	1309	GA	NA	26.94830247	6.01	120	42.2	70.2	20	284	171.3	2.85	258	13.57	4.84	6.74	1.14	0.84	0.01	35.6	49.7	8.4	6.2	0.1
M22	1	6923	12	apple	pos	faecal	1	1-6923-1	1322	GA	NA	26.52388797	6.09	112	38.8	63.7	18.4	289	161.4	2.65	325	15.5	6.04	7.06	0.73	1.66	0.01	39	45.5	4.7	10.7	0.1
M23	1	6924	12	apple	pos	faecal	1	1-6924-1	1322	GA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
